rank,scaler,encoder,model,params,macro_f1,macro_f1_std,macro_recall,accuracy,fit_seconds
113,standard,ordinal,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6400980060881022,0.003777566112234831,0.687017386419094,0.646750223363865,0.2873549461364746
114,robust,ordinal,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6400980060881022,0.003777566112234831,0.687017386419094,0.646750223363865,0.25400638580322266
115,minmax,ordinal,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6393165000665585,0.003285851474007692,0.6858019454383855,0.6461251608365158,0.24060797691345215
116,robust,onehot,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6385053630852137,0.011244590341375598,0.6837158679091778,0.6466246295357116,0.25386834144592285
117,standard,onehot,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6385053630852137,0.011244590341375598,0.6837158679091778,0.6466246295357116,0.2481088638305664
118,standard,ordinal,LogisticRegression,C=1.0,0.6367717643487102,0.008268050960048307,0.6834961056335213,0.6427488949477714,0.4883568286895752
119,standard,ordinal,LogisticRegression,C=5.0,0.6366465535466094,0.008534736809475833,0.6833545628168193,0.6426238168090954,0.5787613391876221
120,robust,ordinal,LogisticRegression,C=5.0,0.6365937266381243,0.00844709191785233,0.6833249626981069,0.6426239105708186,4.476571559906006
121,robust,ordinal,LogisticRegression,C=1.0,0.6364171013148131,0.008663743266698007,0.6832641865998633,0.6423738480551896,4.908525705337524
122,standard,ordinal,LogisticRegression,C=0.1,0.636004568310251,0.008285133907097503,0.6830784596190039,0.6418737699047933,0.43859386444091797
123,robust,ordinal,LogisticRegression,C=0.1,0.6358458328968982,0.00825058307903917,0.6829366807299303,0.6417487855278404,5.0353217124938965
124,minmax,ordinal,LogisticRegression,C=5.0,0.6357764442681363,0.00792571582091666,0.6825521676056542,0.6417489261704252,1.3174386024475098
125,minmax,ordinal,LogisticRegression,C=1.0,0.635624490815922,0.008644069340896472,0.6825252807744238,0.6417485511235327,0.9710414409637451
126,minmax,ordinal,LogisticRegression,C=0.1,0.6334773870118903,0.008190898678182146,0.6807712494632537,0.6401236604614221,0.5894930362701416
127,minmax,onehot,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5910172019558623,0.011148303694284054,0.59058361040137,0.6240013321665624,0.3240783214569092
128,standard,onehot,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5902670543042364,0.007535776311391055,0.5898802928923804,0.6232507695727831,0.34024524688720703
129,robust,onehot,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5900902552713969,0.008189891358595396,0.589678537897874,0.6228758633227861,0.33176255226135254
130,standard,ordinal,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5882179136509208,0.005113355710180455,0.5888227721251615,0.6193754100317356,0.5070996284484863
131,robust,ordinal,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5875602713047905,0.00489353369919643,0.5882362679340077,0.6190003631391537,0.4553062915802002
132,minmax,ordinal,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5839204281588862,0.0015093811783616548,0.5836283779757484,0.6168747848754464,0.3247034549713135
133,standard,target,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5837385037864804,0.00826808869362961,0.5832609920895707,0.6173758006430742,0.44147181510925293
134,robust,target,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5835027245205895,0.008522817296707482,0.5828628779840132,0.6175009256626117,0.3926682472229004
135,minmax,target,DecisionTree,"max_depth=25, min_samples_leaf=1",0.5818468571022954,0.008238901413793322,0.5802918122917676,0.6167507849965866,0.38381242752075195
